
L   -   L (frrs: ny3lv1 7ogok)
legalitate   -   törvényesség, jogszer&#369;ség (frrs: ny3lv1 7ogok)
legalizare   -   hitelesítés (frrs: ny3lv1 7ogok)
lege   -   törvény (frrs: ny3lv1 7ogok)
libertatea cuv&#226;ntului   -   szólásszabadság (frrs: ny3lv1 7ogok)
list&#259; electoral&#259;    -   választói névjegyzék (frrs: ny3lv1 7ogok)
list&#259; electoral&#259; special&#259;    -   választói pótjegyzék (frrs: ny3lv1 7ogok)
livretului de familie   -   családi könyvecske (frrs: ny3lv1 7ogok)
localitate   -   település (frrs: ny3lv1 7ogok)
loca&#355;ie de gestiune   -   haszonbérlet (frrs: ny3lv1 7ogok)
locul sigiliuliu   -   pecsét helye (rövidítve: P.H.) (frrs: ny3lv1 7ogok)
M   -   M (frrs: ny3lv1 7ogok)
mandantul   -   megbízó (frrs: ny3lv1 7ogok)
mandatar   -   megbízott (frrs: ny3lv1 7ogok)
memoriu    -   beadvány (frrs: ny3lv1 7ogok)
memoriu justificativ   -   írásos indoklás (frrs: ny3lv1 7ogok)
minister    -   minisztérium (frrs: ny3lv1 7ogok)
ministru   -   miniszter (frrs: ny3lv1 7ogok)
mo&#351;tenitori legali rezervatari   -   kötelesrészes törvényi örökös (frrs: ny3lv1 7ogok)
municipiu   -   municípium (frrs: ny3lv1 7ogok)
N   -   N (frrs: ny3lv1 7ogok)
nec&#259;s&#259;torit   -   n&#337;tlen (frrs: ny3lv1 7ogok)
nec&#259;s&#259;torita   -   hajadon (frrs: ny3lv1 7ogok)
nedrept   -   jogtalan (frrs: ny3lv1 7ogok)
neoficial    -   nem hivatalos (frrs: ny3lv1 7ogok)
neplat&#259;   -   fizetés elmulasztása (frrs: ny3lv1 7ogok)
nomenclatura str&#259;zilor   -   utcajegyzék (frrs: ny3lv1 7ogok)
notar public   -   közjegyz&#337; (frrs: ny3lv1 7ogok)
notifica   -   írásban (hivatalosan) közöl (frrs: ny3lv1 7ogok)
notificare   -   megkeresés (hivatalos formában) (frrs: ny3lv1 7ogok)
nul   -   semmis (jogi értelemben) (frrs: ny3lv1 7ogok)
numar de &#206;nregistrare   -   iktatószám (frrs: ny3lv1 7ogok)
nume anterior   -   leánykori név (frrs: ny3lv1 7ogok)
O   -   O (frrs: ny3lv1 7ogok)
obiceiul p&#259;m&#226;ntului    -   szokásjog (frrs: ny3lv1 7ogok)
oficiu teritorial   -   területi hivatal (frrs: ny3lv1 7ogok)
ofi&#355;er de stare civil&#259;   -   anyakönyvvezet&#337; (frrs: ny3lv1 7ogok)
olograf   -   kézírásos (frrs: ny3lv1 7ogok)
omologare   -   jóváhagyás, hivatalos meger&#337;sítés (frrs: ny3lv1 7ogok)
opozi&#355;ie   -   ellenvetés (jogi tiltakozás) (frrs: ny3lv1 7ogok)
ordonan&#355;&#259;   -   rendelet, kormányrendelet (frrs: ny3lv1 7ogok)
P   -   P (frrs: ny3lv1 7ogok)
p&#259;rinte natural    -   vér szerinti szül&#337;, (románosan 'természetes szül&#337;') (frrs: ny3lv1 7ogok)
pensie de urma&#351;   -   özvegyi nyugdíjas (frrs: ny3lv1 7ogok)
persoan&#259; fizic&#259;   -   magánszemély (frrs: ny3lv1 7ogok)
persoan&#259; juridic&#259;   -   jogi személy (frrs: ny3lv1 7ogok)
plan    -   alaprajz (frrs: ny3lv1 7ogok)
plan de situa&#355;ie    -   helyszínrajz (frrs: ny3lv1 7ogok)
plan topografic    -   topográfiai terv (frrs: ny3lv1 7ogok)
plan urbanistic general (PUG)   -   általános településrendezési terv (frrs: ny3lv1 7ogok)
pl&#226;ngere   -   panasz (elutasító végzés ellen benyújtott) (frrs: ny3lv1 7ogok)
poli&#355;ie   -   rend&#337;rség (frrs: ny3lv1 7ogok)
prejudiciabil   -   sérelmes (frrs: ny3lv1 7ogok)
prescrip&#355;ie   -   elévülés (frrs: ny3lv1 7ogok)
prescrip&#355;ie   -   el&#337;írás (frrs: ny3lv1 7ogok)
primar   -   polgármester (frrs: ny3lv1 7ogok)
procedur&#259;   -   eljárás (frrs: ny3lv1 7ogok)
procedur&#259; de urgenta   -   gyorsított eljárás (frrs: ny3lv1 7ogok)
proces-verbal    -   jegyz&#337;könyv (frrs: ny3lv1 7ogok)
procura   -   meghatalmazás (frrs: ny3lv1 7ogok)
promisiune unilateral&#259; de creditare   -   egyoldalú hiteligérvény (frrs: ny3lv1 7ogok)
pronun&#355;a   -   határozatot hoz (frrs: ny3lv1 7ogok)
pronun&#355;a   -   kihírdet (frrs: ny3lv1 7ogok)
proprietate   -   tulajdon (frrs: ny3lv1 7ogok)
protest    -   tiltakozás (frrs: ny3lv1 7ogok)
R   -   R (frrs: ny3lv1 7ogok)
ramburs   -   utánvét (frrs: ny3lv1 7ogok)
r&#259;spundere civil&#259; auto (RCA)   -   kötelez&#337; gépjárm&#369;-felel&#337;sségbiztosítás (kgfb) (frrs: ny3lv1 7ogok)
reautorizarea la cerere   -   újraengedélyezési kérelem (frrs: ny3lv1 7ogok)
rectificarea actelor de stare civil&#259;    -   anyakönyvi kiigazítás (frrs: ny3lv1 7ogok)
recurs   -   fellebbezés (frrs: ny3lv1 7ogok)
referent    -   szakreferens, szakel&#337;adó (hivatali rang) (frrs: ny3lv1 7ogok)
registre de stare civil&#259;   -   anyakönyv (ami a hivatalban van) (frrs: ny3lv1 7ogok)
registrele de stare civil&#259;, exemplarele I    -   eredeti anyakönyv (frrs: ny3lv1 7ogok)
registru   -   nyilvántartás (frrs: ny3lv1 7ogok)
reglementa   -   szabályoz (rendelettel, vagy jogi úton) (frrs: ny3lv1 7ogok)
relatii de publicul   -   tudakozó, közönségszolgálat (frrs: ny3lv1 7ogok)
rent&#259; viager&#259;   -   életjáradék (frrs: ny3lv1 7ogok)
reprezentant, reprezentant legal   -   képvisel&#337;, jogi képvisel&#337; (frrs: ny3lv1 7ogok)
repune pe cineva &#206;n drepturi   -   jogaiba visszahelyez (frrs: ny3lv1 7ogok)
